OBJECTID,FACILITY_NUMBER,FACILITY_TYPE,COMMUNITY,WARD,COFA_ECA,GLOBALID,Shape__Area,Shape__Length
50,49,Dry Pond,Flamborough,13,3-0884-97-006,5075b668-7876-4349-950a-a309723810f3,6188.50561523438,349.08792707233
51,21A,Wetland,Ancaster,14,3-1010-84-006,a0c8724f-9fc2-47dd-a3e2-e720306451fd,35744.4934082031,939.904199796053
52,152,Wet Pond,Dundas,13,5487-693MX2,f874a981-ac28-425f-8736-ddc05d7411a7,19921.8549804688,566.335448685437
53,4,Dry Pond,Ancaster,12,3-0844-95-006,73e3c09c-3b7b-43ac-a2b3-9983a8afe0ff,14334.7468261719,530.545502388689
54,44,Dry Pond,Flamborough,15,,2932c964-4164-4ba1-a6d2-4bec919cdb55,36274.7138671875,1668.54803220132
55,155,Wet Pond,Glanbrook,11,0968-7K3PNJ,10e6ea8c-61dc-4593-a89e-7c7fb23790b5,12438.6892089844,602.231914055149
56,90,Wet Pond,Flamborough,15,5136-6QHHTN,d1473b14-5ab5-489d-bb50-7cdc171e21d6,92527.7966308594,1266.8106323971
57,35,Dry Pond,Flamborough,13,3-0350-94-006,85ee9cd4-83e8-422b-b1e1-c9045ec05102,37646.4880371094,810.244455058517
58,165,Dry Pond,Glanbrook,11,5740-86UR7R,41615d11-221d-46ab-b4d4-2db594cb0377,21370.4389648438,1062.5860811318
59,34,Low Impact Development,Flamborough,15,3-0634-99-006,6e98125d-448c-455f-bd73-04718089b5a1,286.348388671875,112.070647650371
