OBJECTID,UNITID,ASSOCIATEDNAME,SAMPLEDATE,DICHLOROBENZENE_1_2,TRANS_1_3_DICHLOROPROPYLENE,DICHLOROBENZENE_1_4,SILVER,ALUMINUM,ALGAE_AND_CYANOBACTERIA,ARSENIC,BORON,BARIUM,BERYLLIUM,BENZENE,BISMUTH,CALCIUM,CBIOCHEMICAL_OXYGEN_DEMAND,CADMIUM,CIS_1_2_DICHLOROETHYLENE,CHLOROFORM,CHLORIDE,COBALT,CONDUCTIVITY_FIELD,CHROMIUM,COPPER,DICHLOROMETHANE,DISSOLVED_OXYGEN,DISSOLVED_OXYGEN_FIELD,ESCHERICHIA_COLI,ETHYLBENZENE,FLUORIDE,IRON,HARDNESS,POTASSIUM,LITHIUM,MICROSCOPIC_ANALYSIS,MAGNESIUM,MANGANESE,MOLYBDENUM,M_PLUS_P_XYLENE,SODIUM,UNIONIZED_AMMONIA_AS_NH3_AT_FI,AMMONIA_PLUS_AMMONIUM_AS_N,NICKEL,NITRITE_AS_N,NITRATE_AS_N,NITRATE_PLUS_NITRITE_AS_N,O_PHOSPHATE_AS_P,O_XYLENE,PHOSPHORUS_TOTAL,PHOSPHORUS_DISSOLVED_TOTAL,LEAD,PH,PH_FIELD,ANTIMONY,SELENIUM,SILICON,TIN,STRONTIUM,TETRACHLOROETHANE_1_1_2_2,TEMPERATURE_FIELD,TRICHLOROETHYLENE,TITANIUM,TOTAL_KJELDAHL_NITROGEN_AS_N,THALLIUM,TOLUENE,TOTAL_SUSPENDED_SOLIDS,TETRACHLOROETHYLENE,URANIUM,VANADIUM,TUNGSTEN,XYLENE,CAFFEINE,ZINC,ZIRCONIUM,LONGITUDE,LATITUDE
704,UC SW4,URBAN HAMILTON SWQP,2022/06/21 05:00:00+00,,,,<0.0001 mg/L,0.028 mg/L,,0.0008 mg/L,0.060 mg/L,0.0329 mg/L,<0.0001 mg/L,,<0.0001 mg/L,53.5 mg/L,<2 mg/L,<0.0001 mg/L,,,116 mg/L,0.0001 mg/L,740 uS/cm,0.0002 mg/L,0.0022 mg/L,,,10.1 mg/L,7 MPN/100mL,,,0.038 mg/L,199 mg/L,4.76 mg/L,0.0058 mg/L,,15.9 mg/L,0.0146 mg/L,0.0051 mg/L,,74.0 mg/L,,0.05 mg/L,0.0014 mg/L,<0.1 mg/L,2.74 mg/L,,<0.05 mg/L,,0.031 mg/L,,0.0002 mg/L,,8.55 pH,0.0005 mg/L,0.0004 mg/L,0.13 mg/L,<0.0001 mg/L,0.542 mg/L,,19.7 C,,0.0005 mg/L,0.4 mg/L,<0.0003 mg/L,,1.9 mg/L,,0.706 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.85533,43.27665
705,UC SW4,URBAN HAMILTON SWQP,2022/07/14 05:00:00+00,,,,<0.0001 mg/L,0.022 mg/L,,0.0008 mg/L,0.057 mg/L,0.0281 mg/L,<0.0001 mg/L,,<0.0001 mg/L,53.5 mg/L,3 mg/L,<0.0001 mg/L,,,104 mg/L,<0.0001 mg/L,666 uS/cm,0.0001 mg/L,0.0018 mg/L,,,10.1 mg/L,140 MPN/100mL,,,0.031 mg/L,192 mg/L,4.50 mg/L,0.0056 mg/L,,14.1 mg/L,0.0117 mg/L,0.0045 mg/L,,60.5 mg/L,,<0.01 mg/L,0.0014 mg/L,0.07 mg/L,2.53 mg/L,,<0.05 mg/L,,0.049 mg/L,,0.0001 mg/L,,8.77 pH,0.0004 mg/L,0.0003 mg/L,0.31 mg/L,<0.0001 mg/L,0.450 mg/L,,22.6 C,,<0.0004 mg/L,0.7 mg/L,<0.0003 mg/L,,3.8 mg/L,,0.599 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.85533,43.27665
706,UC SW4,URBAN HAMILTON SWQP,2022/08/31 05:00:00+00,,,,<0.0001 mg/L,0.012 mg/L,,0.0009 mg/L,0.056 mg/L,0.0246 mg/L,<0.0001 mg/L,,<0.0001 mg/L,39.2 mg/L,3 mg/L,<0.0001 mg/L,,,80.0 mg/L,<0.0001 mg/L,527 uS/cm,<0.0001 mg/L,0.0016 mg/L,,,8.2 mg/L,58 MPN/100mL,,,0.022 mg/L,150 mg/L,3.61 mg/L,0.0050 mg/L,,12.7 mg/L,0.0079 mg/L,0.0042 mg/L,,49.0 mg/L,,0.04 mg/L,0.0011 mg/L,0.05 mg/L,1.75 mg/L,,<0.05 mg/L,,0.045 mg/L,,<0.0001 mg/L,,8.58 pH,0.0004 mg/L,0.0003 mg/L,0.59 mg/L,<0.0001 mg/L,0.340 mg/L,,22.7 C,,<0.0004 mg/L,0.5 mg/L,<0.0003 mg/L,,5.2 mg/L,,0.460 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.002 mg/L,<0.0004 mg/L,-79.85533,43.27665
707,UC SW2,URBAN HAMILTON SWQP,2022/04/13 05:00:00+00,,,,<0.0001 mg/L,0.062 mg/L,,0.0007 mg/L,0.062 mg/L,0.0333 mg/L,<0.0001 mg/L,,<0.0001 mg/L,62.9 mg/L,<2 mg/L,<0.0001 mg/L,,,124 mg/L,0.0001 mg/L,775 uS/cm,0.0002 mg/L,0.0018 mg/L,,,13.8 mg/L,0 MPN/100mL,,,0.085 mg/L,227 mg/L,4.42 mg/L,0.0057 mg/L,,17.0 mg/L,0.0164 mg/L,0.0050 mg/L,,76.8 mg/L,,0.11 mg/L,0.0014 mg/L,0.07 mg/L,2.49 mg/L,,<0.05 mg/L,,0.040 mg/L,,0.0002 mg/L,,8.57 pH,0.0004 mg/L,0.0003 mg/L,0.16 mg/L,<0.0001 mg/L,0.600 mg/L,,7.2 C,,0.0011 mg/L,0.9 mg/L,<0.0003 mg/L,,3.7 mg/L,,0.845 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.006 mg/L,<0.0004 mg/L,-79.8623,43.27645
708,UC SW2,URBAN HAMILTON SWQP,2022/05/10 05:00:00+00,,,,<0.0001 mg/L,0.088 mg/L,,0.0007 mg/L,0.059 mg/L,0.0337 mg/L,<0.0001 mg/L,,<0.0001 mg/L,62.6 mg/L,<2 mg/L,<0.0001 mg/L,,,122 mg/L,0.0001 mg/L,774 uS/cm,0.0002 mg/L,0.0016 mg/L,,,12.4 mg/L,2 MPN/100mL,,,0.106 mg/L,223 mg/L,4.12 mg/L,0.0056 mg/L,,16.3 mg/L,0.0206 mg/L,0.0044 mg/L,,70.4 mg/L,,0.03 mg/L,0.0013 mg/L,0.06 mg/L,2.38 mg/L,,<0.05 mg/L,,0.042 mg/L,,0.0002 mg/L,,8.47 pH,0.0003 mg/L,0.0003 mg/L,0.43 mg/L,<0.0001 mg/L,0.570 mg/L,,12.1 C,,0.0016 mg/L,0.6 mg/L,<0.0003 mg/L,,5.2 mg/L,,0.800 ug/L,0.0006 mg/L,0.0001 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.8623,43.27645
709,UC SW2,URBAN HAMILTON SWQP,2022/06/21 05:00:00+00,,,,<0.0001 mg/L,0.025 mg/L,,0.0008 mg/L,0.073 mg/L,0.0302 mg/L,<0.0001 mg/L,,<0.0001 mg/L,53.9 mg/L,<2 mg/L,<0.0001 mg/L,,,115 mg/L,0.0001 mg/L,743 uS/cm,0.0002 mg/L,0.0022 mg/L,,,10.0 mg/L,0 MPN/100mL,,,0.032 mg/L,198 mg/L,4.45 mg/L,0.0065 mg/L,,15.4 mg/L,0.0136 mg/L,0.0048 mg/L,,69.6 mg/L,,0.04 mg/L,0.0013 mg/L,<0.1 mg/L,2.77 mg/L,,<0.05 mg/L,,0.041 mg/L,,0.0002 mg/L,,8.54 pH,0.0004 mg/L,0.0004 mg/L,0.13 mg/L,<0.0001 mg/L,0.506 mg/L,,20.9 C,,<0.0004 mg/L,0.4 mg/L,<0.0003 mg/L,,1.6 mg/L,,0.670 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.8623,43.27645
710,UC SW2,URBAN HAMILTON SWQP,2022/07/14 05:00:00+00,,,,<0.0001 mg/L,0.024 mg/L,,0.0008 mg/L,0.057 mg/L,0.0279 mg/L,<0.0001 mg/L,,<0.0001 mg/L,54.9 mg/L,<2 mg/L,<0.0001 mg/L,,,103 mg/L,<0.0001 mg/L,661 uS/cm,0.0002 mg/L,0.0020 mg/L,,,10.2 mg/L,11 MPN/100mL,,,0.035 mg/L,194 mg/L,4.47 mg/L,0.0054 mg/L,,13.8 mg/L,0.0127 mg/L,0.0043 mg/L,,60.4 mg/L,,<0.01 mg/L,0.0013 mg/L,0.07 mg/L,2.49 mg/L,,<0.05 mg/L,,0.041 mg/L,,0.0002 mg/L,,8.74 pH,0.0004 mg/L,0.0003 mg/L,0.33 mg/L,<0.0001 mg/L,0.455 mg/L,,21.7 C,,0.0004 mg/L,0.6 mg/L,<0.0003 mg/L,,3.1 mg/L,,0.592 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.8623,43.27645
711,UC SW2,URBAN HAMILTON SWQP,2022/08/31 05:00:00+00,,,,<0.0001 mg/L,0.014 mg/L,,0.0010 mg/L,0.056 mg/L,0.0268 mg/L,<0.0001 mg/L,,<0.0001 mg/L,37.9 mg/L,3 mg/L,<0.0001 mg/L,,,80.5 mg/L,<0.0001 mg/L,528 uS/cm,<0.0001 mg/L,0.0017 mg/L,,,7.9 mg/L,46 MPN/100mL,,,0.024 mg/L,151 mg/L,3.90 mg/L,0.0050 mg/L,,13.6 mg/L,0.0103 mg/L,0.0046 mg/L,,52.8 mg/L,,0.04 mg/L,0.0012 mg/L,<0.05 mg/L,1.72 mg/L,,<0.05 mg/L,,0.048 mg/L,,<0.0001 mg/L,,8.55 pH,0.0004 mg/L,0.0003 mg/L,0.60 mg/L,<0.0001 mg/L,0.368 mg/L,,22.4 C,,<0.0004 mg/L,0.7 mg/L,<0.0003 mg/L,,5.0 mg/L,,0.497 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.002 mg/L,<0.0004 mg/L,-79.8623,43.27645
712,UC SW2,URBAN HAMILTON SWQP,2022/09/16 05:00:00+00,,,,<0.0001 mg/L,0.034 mg/L,,0.0011 mg/L,0.058 mg/L,0.0280 mg/L,<0.0001 mg/L,,<0.0001 mg/L,39.5 mg/L,<2 mg/L,<0.0001 mg/L,,,77.7 mg/L,<0.0001 mg/L,523 uS/cm,0.0002 mg/L,0.0014 mg/L,,,8.4 mg/L,25 MPN/100mL,,,0.056 mg/L,153 mg/L,3.80 mg/L,0.0050 mg/L,,13.1 mg/L,0.0133 mg/L,0.0046 mg/L,,47.1 mg/L,,<0.01 mg/L,0.0012 mg/L,0.06 mg/L,1.58 mg/L,,<0.05 mg/L,,0.042 mg/L,,0.0002 mg/L,,8.61 pH,0.0004 mg/L,0.0003 mg/L,0.66 mg/L,<0.0001 mg/L,0.380 mg/L,,20.8 C,,0.0006 mg/L,0.6 mg/L,<0.0003 mg/L,,3.2 mg/L,,0.482 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.002 mg/L,<0.0004 mg/L,-79.8623,43.27645
713,UC SW2,URBAN HAMILTON SWQP,2022/10/27 05:00:00+00,,,,<0.0001 mg/L,0.023 mg/L,,0.0009 mg/L,0.052 mg/L,0.0257 mg/L,<0.0001 mg/L,,<0.0001 mg/L,42.7 mg/L,<2 mg/L,<0.0001 mg/L,,,67.6 mg/L,<0.0001 mg/L,516 uS/cm,<0.0001 mg/L,0.0012 mg/L,,,8.9 mg/L,120 MPN/100mL,,,0.043 mg/L,156 mg/L,3.39 mg/L,0.0046 mg/L,,11.9 mg/L,0.0275 mg/L,0.0040 mg/L,,39.4 mg/L,,0.29 mg/L,0.0011 mg/L,0.06 mg/L,1.35 mg/L,,<0.05 mg/L,,0.055 mg/L,,0.0002 mg/L,,7.94 pH,0.0003 mg/L,0.0003 mg/L,0.18 mg/L,<0.0001 mg/L,0.330 mg/L,,12.8 C,,0.0007 mg/L,0.8 mg/L,<0.0003 mg/L,,4.5 mg/L,,0.442 ug/L,0.0005 mg/L,0.0002 mg/L,,,0.002 mg/L,<0.0004 mg/L,-79.8623,43.27645
714,UC SW2,URBAN HAMILTON SWQP,2022/11/24 05:00:00+00,,,,<0.0001 mg/L,0.020 mg/L,,0.0009 mg/L,0.053 mg/L,0.0268 mg/L,<0.0001 mg/L,,<0.0001 mg/L,43.0 mg/L,<2 mg/L,<0.0001 mg/L,,,72.6 mg/L,<0.0001 mg/L,539 uS/cm,0.0001 mg/L,0.0010 mg/L,,,11.3 mg/L,29 MPN/100mL,,,0.038 mg/L,158 mg/L,3.71 mg/L,0.0046 mg/L,,12.4 mg/L,0.0190 mg/L,0.0046 mg/L,,42.8 mg/L,,0.39 mg/L,0.0012 mg/L,0.06 mg/L,1.65 mg/L,,<0.05 mg/L,,0.043 mg/L,,0.0001 mg/L,,8.19 pH,0.0003 mg/L,0.0002 mg/L,0.27 mg/L,<0.0001 mg/L,0.350 mg/L,,7.7 C,,0.0004 mg/L,0.8 mg/L,<0.0003 mg/L,,1.8 mg/L,,0.458 ug/L,0.0005 mg/L,0.0002 mg/L,,,0.002 mg/L,<0.0004 mg/L,-79.8623,43.27645
715,UC SW2,URBAN HAMILTON SWQP,2023/01/10 05:00:00+00,,,,<0.0001 mg/L,0.022 mg/L,,0.0008 mg/L,0.059 mg/L,0.0268 mg/L,<0.0001 mg/L,,<0.0001 mg/L,46.1 mg/L,<2 mg/L,<0.0001 mg/L,,,80.7 mg/L,<0.0001 mg/L,563 uS/cm,<0.0001 mg/L,0.0011 mg/L,,,14.7 mg/L,14 MPN/100mL,,,0.031 mg/L,167 mg/L,3.97 mg/L,0.005 mg/L,,12.5 mg/L,0.0066 mg/L,0.0047 mg/L,,46.6 mg/L,,0.28 mg/L,0.0012 mg/L,0.08 mg/L,2.16 mg/L,,<0.05 mg/L,,0.026 mg/L,,<0.0001 mg/L,,8.35 pH,0.0003 mg/L,0.0002 mg/L,0.1 mg/L,<0.0001 mg/L,0.379 mg/L,,1.9 C,,0.0006 mg/L,0.6 mg/L,<0.0003 mg/L,,<2 mg/L,,0.468 ug/L,0.0004 mg/L,0.0002 mg/L,,,0.003 mg/L,<0.0004 mg/L,-79.8623,43.27645
716,UC SW3,URBAN HAMILTON SWQP,2021/06/28 05:00:00+00,,,,<0.0001 mg/L,0.020 mg/L,,0.0008 mg/L,0.060 mg/L,0.0280 mg/L,<0.0001 mg/L,,<0.0001 mg/L,48.8 mg/L,<2 mg/L,<0.0001 mg/L,,,104 mg/L,<0.0001 mg/L,693.3 uS/cm,0.0001 mg/L,0.0016 mg/L,,,9.11 mg/L,32 MPN/100mL,,,0.034 mg/L,180 mg/L,4.21 mg/L,0.0055 mg/L,,14.2 mg/L,0.0155 mg/L,0.0058 mg/L,,61.1 mg/L,,0.09 mg/L,0.0013 mg/L,0.05 mg/L,2.76 mg/L,,<0.05 mg/L,,0.038 mg/L,,0.0002 mg/L,,8.50 pH,0.0004 mg/L,0.0003 mg/L,0.17 mg/L,<0.0001 mg/L,0.444 mg/L,,20.2 C,,0.0006 mg/L,0.6 mg/L,<0.0003 mg/L,,<2 mg/L,,0.542 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.86182,43.27827
717,UC SW3,URBAN HAMILTON SWQP,2021/07/22 05:00:00+00,,,,<0.0001 mg/L,0.015 mg/L,,0.0009 mg/L,0.062 mg/L,0.0297 mg/L,<0.0001 mg/L,,<0.0001 mg/L,53.0 mg/L,<2 mg/L,<0.0001 mg/L,,,95.3 mg/L,<0.0001 mg/L,656.3 uS/cm,0.0001 mg/L,0.0021 mg/L,,,10.19 mg/L,10 MPN/100mL,,,0.025 mg/L,192 mg/L,4.36 mg/L,0.0055 mg/L,,14.4 mg/L,0.0075 mg/L,0.0055 mg/L,,61.7 mg/L,,0.01 mg/L,0.0013 mg/L,<0.1 mg/L,2.37 mg/L,,<0.05 mg/L,,0.053 mg/L,,0.0001 mg/L,,8.70 pH,0.0004 mg/L,0.0003 mg/L,0.28 mg/L,<0.0001 mg/L,0.472 mg/L,,23.2 C,,0.0006 mg/L,0.4 mg/L,0.0003 mg/L,,2.6 mg/L,,0.581 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.002 mg/L,<0.0004 mg/L,-79.86182,43.27827
718,UC SW3,URBAN HAMILTON SWQP,2021/08/16 05:00:00+00,,,,<0.0001 mg/L,0.019 mg/L,,0.0009 mg/L,0.060 mg/L,0.0274 mg/L,<0.0001 mg/L,,<0.0001 mg/L,47.1 mg/L,<2 mg/L,<0.0001 mg/L,,,89.7 mg/L,<0.0001 mg/L,599.1 uS/cm,0.0001 mg/L,0.0017 mg/L,,,10.15 mg/L,30 MPN/100mL,,,0.030 mg/L,171 mg/L,3.80 mg/L,0.0054 mg/L,,13.0 mg/L,0.0112 mg/L,0.0050 mg/L,,52.7 mg/L,,<0.01 mg/L,0.0012 mg/L,0.11 mg/L,2.01 mg/L,,<0.05 mg/L,,0.049 mg/L,,0.0001 mg/L,,8.84 pH,0.0004 mg/L,0.0003 mg/L,0.51 mg/L,<0.0001 mg/L,0.387 mg/L,,23.7 C,,0.0008 mg/L,0.7 mg/L,<0.0003 mg/L,,5.0 mg/L,,0.491 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.003 mg/L,<0.0004 mg/L,-79.86182,43.27827
719,UC SW3,URBAN HAMILTON SWQP,2021/09/09 05:00:00+00,,,,<0.0001 mg/L,0.034 mg/L,,0.0009 mg/L,0.057 mg/L,0.0273 mg/L,<0.0001 mg/L,,<0.0001 mg/L,41.8 mg/L,<3 mg/L,<0.0001 mg/L,,,83.5 mg/L,<0.0001 mg/L,571.6 uS/cm,0.0001 mg/L,0.0018 mg/L,,,7.05 mg/L,1300 MPN/100mL,,,0.054 mg/L,158 mg/L,4.14 mg/L,0.0054 mg/L,,13.1 mg/L,0.0197 mg/L,0.0052 mg/L,,51.2 mg/L,,0.01 mg/L,0.0012 mg/L,0.14 mg/L,1.80 mg/L,,<0.05 mg/L,,0.050 mg/L,,0.0002 mg/L,,8.42 pH,0.0003 mg/L,0.0002 mg/L,0.66 mg/L,<0.0001 mg/L,0.375 mg/L,,22.2 C,,0.0005 mg/L,0.7 mg/L,<0.0003 mg/L,,3.6 mg/L,,0.475 ug/L,0.0007 mg/L,0.0002 mg/L,,,0.003 mg/L,<0.0004 mg/L,-79.86182,43.27827
720,UC SW3,URBAN HAMILTON SWQP,2021/10/19 05:00:00+00,,,,<0.0001 mg/L,0.072 mg/L,,0.0011 mg/L,0.057 mg/L,0.0286 mg/L,<0.0001 mg/L,,<0.0001 mg/L,48.1 mg/L,<3 mg/L,<0.0001 mg/L,,,77.3 mg/L,<0.0001 mg/L,587.1 uS/cm,0.0002 mg/L,0.0014 mg/L,,,6.79 mg/L,192 MPN/100mL,,,0.106 mg/L,172 mg/L,3.91 mg/L,0.0051 mg/L,,12.6 mg/L,0.0329 mg/L,0.0048 mg/L,,46.5 mg/L,,0.09 mg/L,0.0012 mg/L,0.10 mg/L,1.66 mg/L,,<0.05 mg/L,,0.057 mg/L,,0.0003 mg/L,,7.97 pH,0.0002 mg/L,0.0003 mg/L,0.54 mg/L,0.0001 mg/L,0.402 mg/L,,17.1 C,,0.0016 mg/L,0.5 mg/L,<0.0003 mg/L,,4.4 mg/L,,0.506 ug/L,0.0007 mg/L,0.0002 mg/L,,,0.005 mg/L,<0.0004 mg/L,-79.86182,43.27827
721,UC SW4,URBAN HAMILTON SWQP,2022/09/16 05:00:00+00,,,,<0.0001 mg/L,0.026 mg/L,,0.0010 mg/L,0.056 mg/L,0.0268 mg/L,<0.0001 mg/L,,<0.0001 mg/L,39.6 mg/L,<2 mg/L,<0.0001 mg/L,,,77.5 mg/L,<0.0001 mg/L,523 uS/cm,0.0001 mg/L,0.0014 mg/L,,,8.3 mg/L,33 MPN/100mL,,,0.043 mg/L,150 mg/L,3.64 mg/L,0.0050 mg/L,,12.5 mg/L,0.0123 mg/L,0.0044 mg/L,,44.9 mg/L,,0.06 mg/L,0.0011 mg/L,0.06 mg/L,1.59 mg/L,,<0.05 mg/L,,0.045 mg/L,,0.0001 mg/L,,8.62 pH,0.0004 mg/L,0.0002 mg/L,0.64 mg/L,<0.0001 mg/L,0.360 mg/L,,21.0 C,,0.0005 mg/L,0.5 mg/L,<0.0003 mg/L,,3.4 mg/L,,0.461 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.002 mg/L,<0.0004 mg/L,-79.85533,43.27665
722,UC SW4,URBAN HAMILTON SWQP,2022/10/27 05:00:00+00,,,,<0.0001 mg/L,0.023 mg/L,,0.0010 mg/L,0.053 mg/L,0.0276 mg/L,<0.0001 mg/L,,<0.0001 mg/L,43.1 mg/L,<2 mg/L,<0.0001 mg/L,,,67.4 mg/L,<0.0001 mg/L,516 uS/cm,0.0001 mg/L,0.0013 mg/L,,,9.0 mg/L,60 MPN/100mL,,,0.045 mg/L,160 mg/L,3.67 mg/L,0.0048 mg/L,,12.8 mg/L,0.0374 mg/L,0.0040 mg/L,,43.1 mg/L,,0.32 mg/L,0.0012 mg/L,0.06 mg/L,1.32 mg/L,,<0.05 mg/L,,0.067 mg/L,,0.0001 mg/L,,8.11 pH,0.0004 mg/L,0.0002 mg/L,0.18 mg/L,<0.0001 mg/L,0.349 mg/L,,13.4 C,,0.0005 mg/L,0.7 mg/L,<0.0003 mg/L,,4.0 mg/L,,0.477 ug/L,0.0005 mg/L,0.0002 mg/L,,,0.002 mg/L,<0.0004 mg/L,-79.85533,43.27665
723,UC SW4,URBAN HAMILTON SWQP,2022/11/24 05:00:00+00,,,,<0.0001 mg/L,0.017 mg/L,,0.0008 mg/L,0.054 mg/L,0.0282 mg/L,<0.0001 mg/L,,<0.0001 mg/L,44.4 mg/L,<2 mg/L,<0.0001 mg/L,,,72.8 mg/L,<0.0001 mg/L,540 uS/cm,0.0001 mg/L,0.0017 mg/L,,,10.8 mg/L,26 MPN/100mL,,,0.034 mg/L,165 mg/L,3.92 mg/L,0.0047 mg/L,,13.2 mg/L,0.0208 mg/L,0.0048 mg/L,,45.2 mg/L,,0.41 mg/L,0.0012 mg/L,0.06 mg/L,1.65 mg/L,,<0.05 mg/L,,0.044 mg/L,,0.0001 mg/L,,8.10 pH,0.0004 mg/L,0.0002 mg/L,0.26 mg/L,<0.0001 mg/L,0.365 mg/L,,7.9 C,,<0.0004 mg/L,0.8 mg/L,<0.0003 mg/L,,1.3 mg/L,,0.466 ug/L,0.0005 mg/L,0.0002 mg/L,,,0.002 mg/L,<0.0004 mg/L,-79.85533,43.27665
724,UC SW4,URBAN HAMILTON SWQP,2023/01/10 05:00:00+00,,,,<0.0001 mg/L,0.027 mg/L,,0.0008 mg/L,0.06 mg/L,0.0266 mg/L,<0.0001 mg/L,,<0.0001 mg/L,47.5 mg/L,<2 mg/L,<0.0001 mg/L,,,80 mg/L,<0.0001 mg/L,558 uS/cm,<0.0001 mg/L,0.0014 mg/L,,,14.5 mg/L,39 MPN/100mL,,,0.04 mg/L,168 mg/L,3.86 mg/L,0.0051 mg/L,,12 mg/L,0.0106 mg/L,0.0046 mg/L,,45.8 mg/L,,0.31 mg/L,0.0012 mg/L,0.08 mg/L,2.19 mg/L,,<0.05 mg/L,,0.035 mg/L,,0.0001 mg/L,,8.23 pH,0.0004 mg/L,0.0002 mg/L,0.09 mg/L,<0.0001 mg/L,0.367 mg/L,,2.1 C,,0.0008 mg/L,0.6 mg/L,<0.0003 mg/L,,<2 mg/L,,0.443 ug/L,0.0004 mg/L,0.0002 mg/L,,,0.003 mg/L,<0.0004 mg/L,-79.85533,43.27665
725,UC SW5,URBAN HAMILTON SWQP,2021/06/28 05:00:00+00,,,,<0.0001 mg/L,0.021 mg/L,,0.0008 mg/L,0.060 mg/L,0.0281 mg/L,<0.0001 mg/L,,<0.0001 mg/L,49.7 mg/L,<2 mg/L,<0.0001 mg/L,,,104 mg/L,<0.0001 mg/L,697.2 uS/cm,0.0001 mg/L,0.0016 mg/L,,,9.25 mg/L,31 MPN/100mL,,,0.037 mg/L,182 mg/L,4.24 mg/L,0.0062 mg/L,,14.1 mg/L,0.0138 mg/L,0.0058 mg/L,,61.4 mg/L,,0.09 mg/L,0.0013 mg/L,0.06 mg/L,2.80 mg/L,,<0.05 mg/L,,0.035 mg/L,,0.0002 mg/L,,8.53 pH,0.0004 mg/L,0.0003 mg/L,0.16 mg/L,<0.0001 mg/L,0.452 mg/L,,21.0 C,,0.0006 mg/L,0.6 mg/L,<0.0003 mg/L,,<2 mg/L,,0.534 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.84979,43.27552
726,UC SW5,URBAN HAMILTON SWQP,2021/07/22 05:00:00+00,,,,<0.0001 mg/L,0.014 mg/L,,0.0009 mg/L,0.060 mg/L,0.0277 mg/L,<0.0001 mg/L,,<0.0001 mg/L,58.5 mg/L,<2 mg/L,<0.0001 mg/L,,,96.7 mg/L,<0.0001 mg/L,651.9 uS/cm,0.0001 mg/L,0.0017 mg/L,,,9.53 mg/L,10 MPN/100mL,,,0.025 mg/L,202 mg/L,4.15 mg/L,0.0052 mg/L,,13.7 mg/L,0.0069 mg/L,0.0053 mg/L,,58.2 mg/L,,0.01 mg/L,0.0013 mg/L,<0.1 mg/L,2.52 mg/L,,<0.05 mg/L,,0.056 mg/L,,0.0001 mg/L,,8.58 pH,0.0004 mg/L,0.0003 mg/L,0.24 mg/L,<0.0001 mg/L,0.421 mg/L,,23.8 C,,0.0007 mg/L,0.5 mg/L,<0.0003 mg/L,,2.6 mg/L,,0.523 ug/L,0.0006 mg/L,0.0002 mg/L,,,0.003 mg/L,<0.0004 mg/L,-79.84979,43.27552
727,UC SW5,URBAN HAMILTON SWQP,2021/08/17 05:00:00+00,,,,<0.0001 mg/L,0.038 mg/L,,0.0010 mg/L,0.060 mg/L,0.0282 mg/L,<0.0001 mg/L,,<0.0001 mg/L,46.4 mg/L,<2 mg/L,<0.0001 mg/L,,,89.6 mg/L,<0.0001 mg/L,608.8 uS/cm,0.0002 mg/L,0.0017 mg/L,,,9.70 mg/L,113 MPN/100mL,,,0.078 mg/L,170 mg/L,3.91 mg/L,0.0054 mg/L,,13.2 mg/L,0.0153 mg/L,0.0052 mg/L,,52.7 mg/L,,0.01 mg/L,0.0013 mg/L,0.11 mg/L,2.05 mg/L,,<0.05 mg/L,,0.066 mg/L,,0.0004 mg/L,,8.31 pH,0.0004 mg/L,0.0003 mg/L,0.56 mg/L,<0.0001 mg/L,0.396 mg/L,,24.0 C,,0.0010 mg/L,0.8 mg/L,<0.0003 mg/L,,7.0 mg/L,,0.497 ug/L,0.0007 mg/L,0.0002 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.84979,43.27552
