X,Y,OBJECTID,POLLUTANT_NAME,CONCENTRATION,UNIT,START_DATE,END_DATE,LONGITUDE,LATITUDE,SE_ANNO_CAD_DATA
578848.2205,4805048.6215,1081,SO2,0,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-80.0263923,43.39417123,
581617.4243,4792689.2126,1082,SO2,0.33545043365097,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.99404246,43.28260126,
582590.7005,4805122.5212,1083,SO2,0,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.98017651,43.39443383,
589077.5825,4799103.771,1084,SO2,0,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.9010697,43.33950565,
591297.3725,4790288.5994,1085,SO2,6.81368455323158,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.87515391,43.25987737,
590229.6809,4788139.7643,1086,SO2,7.05334241780951,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.888658,43.24066,
593471.5036,4786167.6492,1087,SO2,1.39342612236116,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.84907103,43.2225104,
584226.838,4786080.6915,1088,SO2,2.27920816673398,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.962896,43.222816,
584226.838,4786080.6915,1089,SO2,1.8136936396647,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.962896,43.222816,
592006.3511,4790650.8167,1090,SO2,6.81393585743214,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.86635997,43.26305216,
592006.3511,4790650.8167,1091,SO2,7.45087600146119,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.86635997,43.26305216,
588562.2305,4790000.2801,1092,SO2,2.6533253830994,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.908893,43.257608,
595330.1831,4789811.1695,1093,SO2,9.47873328720641,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.82555957,43.25507984,
595810.8039,4789041.6991,1094,SO2,5.36224302010802,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.81977348,43.24809153,
588364.4019,4790444.2895,1095,SO2,1.86912687462943,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.91125863,43.26162866,
591136.0223,4790298.0297,1097,SO2,5.88476296947051,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.87713992,43.2599818,
596637.4737,4787438.1588,1098,SO2,0.44638543562729,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.80987352,43.23354973,
596637.4737,4787438.1588,1099,SO2,0.02160267605603,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.80987352,43.23354973,
606513.1455,4786732.6795,1100,SO2,0,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.68841696,43.22586897,
594055.5934,4789553.7594,1101,SO2,6.80027581314539,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.84130292,43.25292254,
588526.2322,4797615.4809,1102,SO2,0,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.90811047,43.32617183,
602806.9252,4785716.6192,1103,SO2,0,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.73423282,43.21723593,
611166.7163,4786241.6496,1104,SO2,0,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.63122837,43.22077739,
598988.3868,4792138.5669,1105,SO2,1.79791398422742,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.780083,43.275561,
